customer_id,avg_actual_delivery_seconds,number_of_orders
293,7376.5000,2
97,5932.6000,5
48,3802.5000,4
142,2524.8333,6
66,2519.3333,6
98,2517.0000,6
224,2507.6667,6
131,2255.0000,7
312,2246.2857,7
253,2241.8571,7
104,2236.0000,7
91,2211.5714,7
42,2195.5714,7
128,1997.1250,8
10,1960.7500,8
310,1780.4444,9
229,1774.4444,9
305,1767.4444,9
64,1760.5556,9
179,1751.8889,9
172,1606.1000,10
251,1361.0000,12
111,1321.9231,13
269,332.3333,3
155,287.5000,8
237,284.6250,8
178,278.0000,7
132,273.4000,5
246,269.8571,7
168,269.0000,3
86,268.6000,5
195,267.5556,9
164,267.5000,6
146,267.2857,7
72,256.1429,7
148,252.5556,9
39,251.8000,5
153,251.6000,5
54,249.6667,3
267,249.2000,5
245,246.6250,8
116,244.6923,13
43,242.6000,5
203,242.4286,7
61,241.2857,7
22,240.7778,9
198,240.0000,5
247,239.7500,4
254,239.2500,12
280,238.2500,8
250,238.0667,15
123,235.9091,11
37,234.2500,4
12,233.2857,7
23,232.7500,4
68,232.6667,3
296,230.3333,3
144,229.0000,7
95,228.0000,5
28,227.2500,4
249,224.6000,5
31,224.0000,2
115,223.5000,6
286,222.8571,7
2,221.6667,6
258,221.5000,8
5,220.2857,7
193,220.0000,3
282,219.4000,5
239,218.8333,6
221,218.7500,4
226,218.6250,8
147,216.3333,6
119,214.2500,4
44,213.2000,5
169,211.4000,5
36,210.5000,6
34,209.6667,3
273,208.7500,8
103,208.3333,9
53,207.5000,4
56,207.2222,9
18,206.3333,6
270,206.1429,7
265,205.2857,7
201,204.7500,12
80,204.0000,4
102,202.6667,3
105,202.6667,6
93,202.5000,8
262,202.3333,6
92,202.0000,6
40,201.1000,10
62,200.3333,6
194,199.7500,8
264,199.2500,4
143,199.0000,5
8,197.9167,12
75,197.7500,8
7,197.4545,11
197,197.3333,6
134,197.0000,5
297,196.8000,5
192,196.5714,7
292,195.2222,9
6,195.0000,13
200,195.0000,4
176,194.8750,8
300,194.7500,4
187,194.7500,4
109,194.6667,9
156,194.6364,11
220,194.3333,6
11,194.0000,15
182,193.0000,5
299,192.3333,3
113,192.2727,11
126,191.0000,5
301,189.5000,4
199,189.4286,7
205,188.5000,4
118,187.9000,10
89,187.6000,5
77,187.5000,8
167,187.4286,7
243,187.3333,6
233,187.0000,5
259,185.8182,11
17,185.6000,5
289,185.4444,9
228,185.2727,11
114,184.7500,8
30,184.5556,9
295,184.2857,7
290,184.1538,13
69,182.7500,4
13,182.6667,9
207,182.6667,3
0,182.5000,8
51,182.0000,2
4,181.8333,6
152,181.6667,6
252,181.2727,11
