order_id,number_of_products,avg_actual_delivery_seconds
1312,1,194.0000
777,1,132.0000
1317,1,81.0000
1664,1,146.0000
1201,1,37.0000
2120,1,32.0000
1438,1,164.0000
2129,1,49.0000
655,1,51.0000
829,1,171.0000
1391,1,185.0000
964,1,114.0000
462,1,187.0000
2173,1,102.0000
48,1,0.0000
1924,1,120.0000
1577,1,109.0000
644,1,63.0000
1995,1,142.0000
850,1,0.0000
406,1,144.0000
1191,1,264.0000
1007,1,118.0000
1161,1,71.0000
405,1,64.0000
2063,1,115.0000
588,1,151.0000
1429,1,143.0000
1118,1,57.0000
1628,1,49.0000
571,1,289.0000
1861,1,211.0000
387,1,30.0000
469,1,90.0000
2167,1,71.0000
967,1,305.0000
2169,1,137.0000
1226,1,73.0000
1958,1,38.0000
1536,1,103.0000
1206,1,31.0000
1983,1,0.0000
1662,1,71.0000
2036,1,62.0000
685,1,66.0000
580,1,0.0000
1025,1,78.0000
1627,1,96.0000
626,1,151.0000
1740,1,99.0000
1071,1,136.0000
885,1,150.0000
2122,1,99.0000
773,1,178.0000
1405,1,58.0000
1528,1,76.0000
1729,1,99.0000
716,1,66.0000
2021,1,0.0000
1119,1,152.0000
1371,1,276.0000
2125,1,42.0000
1443,1,178.0000
1009,1,77.0000
768,1,108.0000
308,1,123.0000
848,1,142.0000
1343,1,92.0000
1353,1,30.0000
691,1,101.0000
1630,1,33.0000
799,1,80.0000
1818,1,38.0000
1744,1,153.0000
1026,1,29.0000
213,1,151.0000
1708,1,177.0000
1426,1,132.0000
1442,1,64.0000
990,1,102.0000
82,1,71.0000
1823,1,188.0000
404,1,209.0000
2060,1,147.0000
1733,1,152.0000
1044,1,50.0000
819,1,77.0000
2233,1,71.0000
682,1,154.0000
1195,1,100.0000
1897,1,176.0000
1170,1,39.0000
310,1,190.0000
528,1,170.0000
388,1,192.0000
1300,1,133.0000
371,1,226.0000
401,1,96.0000
35,1,179.0000
1080,1,136.0000
549,1,159.0000
2187,1,219.0000
902,1,75.0000
622,1,40.0000
1574,1,90.0000
1316,1,136.0000
545,1,222.0000
1414,1,87.0000
1862,1,201.0000
477,1,140.0000
597,1,230.0000
2172,1,94.0000
694,1,152.0000
1167,1,103.0000
1370,1,148.0000
1077,1,71.0000
573,1,174.0000
1655,1,155.0000
97,1,179.0000
667,1,47.0000
327,1,141.0000
2165,1,274.0000
1801,1,43.0000
678,1,86.0000
1918,1,172.0000
1612,1,174.0000
34,1,101.0000
1147,1,153.0000
147,1,86.0000
2175,1,138.0000
648,1,201.0000
2096,1,26.0000
1095,1,116.0000
715,1,26.0000
1227,1,128.0000
1387,1,189.0000
427,1,162.0000
535,1,199.0000
1575,1,238.0000
285,1,177.0000
837,1,77.0000
661,1,181.0000
2013,1,177.0000
1075,1,68.0000
2224,1,0.0000
908,1,34.0000
1951,1,204.0000
218,1,0.0000
1081,1,56.0000
195,1,66.0000
1052,1,171.0000
2183,1,61.0000
1975,1,28.0000
1166,1,72.0000
1967,1,40.0000
222,1,139.0000
1966,1,186.0000
236,1,133.0000
1488,1,299.0000
2168,1,35.0000
