weight,avg_actual_delivery_seconds,number_of_orders
140,180.9818,55
189,169.5313,64
237,169.2027,74
245,564.6081,74
256,376.7532,77
257,168.8933,75
259,171.4407,59
273,410.7123,73
296,196.0000,82
300,151.0566,53
310,680.1897,58
318,707.6909,55
338,216.8033,61
344,365.8630,73
396,199.7302,63
397,472.2453,53
407,194.1228,57
414,150.5714,63
429,603.6324,68
462,185.4706,68
464,428.6667,57
486,393.9242,66
497,178.5417,72
546,177.7260,73
567,194.3827,81
610,165.7432,74
627,165.9483,58
628,400.6212,66
629,920.4138,58
641,186.4154,65
653,453.3276,58
670,194.5119,84
703,215.2368,76
728,430.1452,62
750,173.3788,66
761,593.7500,72
764,423.0678,59
818,442.4737,57
833,206.1296,54
851,416.1875,64
860,362.4304,79
903,403.3286,70
906,381.4865,74
923,174.4935,77
928,168.4203,69
943,189.6974,76
968,212.2899,69
982,174.4444,63
1020,368.4304,79
1044,174.2667,75
1066,395.1831,71
1076,199.2881,59
1078,606.6250,64
1089,153.0635,63
1120,204.9571,70
1168,190.9012,81
1184,292.2650,117
1218,387.4054,74
1220,220.0933,75
1223,382.3205,78
1273,714.3671,79
1306,395.3378,74
1359,158.4688,64
1378,383.8806,67
1428,382.2250,80
1447,1097.1270,63
1454,360.5200,75
1478,581.1975,81
1490,203.2647,68
1491,194.0725,69
1493,402.7794,68
1497,413.4028,72
1526,434.5455,55
1533,410.6765,68
1557,181.8088,68
1599,192.1000,60
1612,196.0000,73
1654,199.0227,44
1675,190.2542,59
1734,594.1972,71
1743,181.4545,88
1753,212.5522,67
1754,400.0000,65
1776,379.2603,73
1779,809.5571,70
1789,171.3906,64
1830,195.3220,59
1850,206.2200,50
1872,727.6182,55
1873,180.8696,69
1895,167.6528,72
1949,419.7727,66
1956,186.2286,70
1963,385.0260,77
1974,389.9726,73
1976,370.5857,70
1990,341.5176,85
1993,365.8400,75
1997,196.9296,71
